"Name
","Description
"
"ai_show_hull
","Displays the allowed hulls between each node for the currently selected hull type.  Hulls are color code as follows:
Green		- ground movement 
Blue		- jumping movement
Cyan		- flying movement
Yellow		- crawling movement
Magenta		- climbing movement
Arguments: 	-none-		- 

"
"ai_show_node
","Highlight the specified node.
"
"ai_show_visibility
","Toggles visibility display for the node that the player is looking at.  Nodes that are visible from the selected node will be drawn in red with yellow lines connecting to the selected node.  Nodes that are not visible from the selected node will be drawn in blue.
"
"ai_step
","NPCs will freeze after completing their current task.  To complete the next task, use 'ai_step' again.  To resume processing normally use 'ai_resume'.
"
"ai_test_los
","Test AI LOS from the player's POV.
"
"ainet_generate_report
","Generate a report to the console.
"
"ainet_generate_report_only
","Generate a report to the console.
"
"air_density
","Changes the density of air for drag computations.
"
"alias
","Alias a command.
"
"'-alt1'
","
"
"'+alt1'
","
"
"'-alt2'
","
"
"'+alt2'
","
"
"apply_crosshair_code
","Apply a crosshair code to the current crosshair settings.
"
"askconnect_accept
","Accept a redirect request by the server.
"
"asw_engine_finished_building_map
","Notify engine that we've finished building a map
"
"async_resume
","
"
"async_suspend
","
"
"'+attack'
","
"
"'-attack'
","
"
"'-attack2'
","
"
"'+attack2'
","
"
"audit_save_in_memory
","Audit the memory usage and files in the save-to-memory system
"
"autobuy
","Attempt to purchase items with the order listed in cl_autobuy
"
"autosave
","Autosave
"
"autosavedangerous
","AutoSaveDangerous
"
"autosavedangerousissafe
","
"
"'-back'
","
"
"'+back'
","
"
"banid
","Add a user ID to the ban list.
"
"banip
","Add an IP address to the ban list.
"
"bench_end
","Ends gathering of info.
"
"bench_showstatsdialog
","Shows a dialog displaying the most recent benchmark results.
"
"bench_start
","Starts gathering of info. Arguments: filename to write results into
"
"bench_upload
","Uploads most recent benchmark stats to the Valve servers.
"
"benchframe
","Takes a snapshot of a particular frame in a time demo.
"
"bind
","Bind a key.
"
"bind_osx
","Bind a key for OSX only.
"
"BindToggle
","Performs a bind <key> 'increment var <cvar> 0 1 1'
"
"blackbox_record
","Record an entry into the blackbox
"
"bot_add
","ct> <type> <difficulty> <name> - Adds a bot matching the given criteria.
"
"bot_add_ct
","bot_add_ct <type> <difficulty> <name> - Adds a Counter-Terrorist bot matching the given criteria.
"
"bot_add_t
","bot_add_t <type> <difficulty> <name> - Adds a terrorist bot matching the given criteria.
"
"bot_all_weapons
","Allows the bots to use all weapons
"
"bot_goto_mark
","Sends a bot to the marked nav area (useful for testing navigation meshes)
"
"bot_goto_selected
","Sends a bot to the selected nav area (useful for testing navigation meshes)
"
"bot_kick
","ct> <type> <difficulty> <name> - Kicks a specific bot, or all bots, matching the given criteria.
"
"bot_kill
","ct> <type> <difficulty> <name> - Kills a specific bot, or all bots, matching the given criteria.
"
"bot_knives_only
","Restricts the bots to only using knives
"
"bot_pistols_only
","Restricts the bots to only using pistols
"
"bot_place
","bot_place - Places a bot from the map at where the local player is pointing.
"
"bot_snipers_only
","Restricts the bots to only using sniper rifles
"
"box
","Draw a debug box.
"
"'-break'
","
"
"'+break'
","
"
"buddha
","Toggle.  Player takes damage but won't die. (Shows red cross when health is zero)
"
"budget_toggle_group
","Turn a budget group on/off
"
"bug
","Show the bug reporting UI.
"
"buildcubemaps
","Rebuild cubemaps.
"
"buildmodelforworld
","buildmodelforworld
"
"buy_stamps
","Temporary solution for Pinion to kick back to community map makers.
"
"buymenu
","Show or hide main buy menu
"
"buyrandom
","Buy random primary and secondary. Primarily for deathmatch where cost is not an issue.
"
"cache_print
","cache_print [section]
Print out contents of cache memory.

"
"cache_print_lru
","cache_print_lru [section]
Print out contents of cache memory.

"
"cache_print_summary
","cache_print_summary [section]
Print out a summary contents of cache memory.

"
"callvote
","Start a vote on an issue.
"
"cam_command
","Tells camera to change modes
"
"'-camdistance'
","
"
"'+camdistance'
","
"
"'+camin'
","
"
"'-camin'
","
"
"'+cammousemove'
","
"
"'-cammousemove'
","
"
"'-camout'
","
"
"'+camout'
","
"
"'+campitchdown'
","
"
"'-campitchdown'
","
"
"'+campitchup'
","
"
"'-campitchup'
","
"
"'+camyawleft'
","
"
"'-camyawleft'
","
"
"'+camyawright'
","
"
"'-camyawright'
","
"
"cancelselect
","
"
"cast_hull
","Tests hull collision detection
"
"cast_ray
","Tests collision detection
"
"cc_emit
","Emits a closed caption
"
"cc_findsound
","Searches for soundname which emits specified text.
"
"cc_flush
","Flushes async'd captions.
"
"cc_random
","Emits a random caption
"
"cc_showblocks
","Toggles showing which blocks are pending/loaded async.
"
"centerview
","
"
"ch_createairboat
","Spawn airboat in front of the player.
"
"ch_createjeep
","Spawn jeep in front of the player.
"
"changelevel
","Change server to the specified map
"
"changelevel2
","Transition to the specified map in single player
"
"cl_animationinfo
","Hud element to examine.
"
"cl_avatar_convert_png
","Converts all rgb avatars in the avatars directory to png
"
"cl_avatar_convert_rgb
","Converts all png avatars in the avatars directory to rgb
"
"cl_clearhinthistory
","Clear memory of client side hints displayed to the player.
"
"cl_cs_dump_econ_item_stringtable
","cl_cs_dump_econ_item_stringtable
"
"cl_csm_server_status
","Usage:
cl_csm_server_status



"
"cl_csm_status
","Usage:
  cl_csm_status



"
"cl_dump_particle_stats
","dump particle profiling info to particle_profile.csv
"
"cl_dumpplayer
","Dumps info about a player
"
"cl_dumpsplithacks
","Dump split screen workarounds.
"
"cl_ent_absbox
","Displays the client's absbox for the entity under the crosshair.
"
"cl_ent_bbox
","Displays the client's bounding box for the entity under the crosshair.
"
"cl_ent_rbox
","Displays the client's render box for the entity under the crosshair.
"
"cl_find_ent
","Find and list all client entities with classnames that contain the specified substring.
Format: cl_find_ent <substring>


"
"cl_find_ent_index
","Display data for clientside entity matching specified index.
Format: cl_find_ent_index <index>


"
"cl_fullupdate
","Forces the server to send a full update packet
"
"cl_game_mode_convars
","Display the values of the convars for the current game_mode.
"
"cl_matchstats_print_own_data
","cl_matchstats_print_own_data RANGENAME
"
"cl_modemanager_reload
","Reloads the panel metaclasses for vgui screens.
"
"cl_panelanimation
","blank for all panels>.
"
"cl_particles_dump_effects
","
"
"cl_particles_dumplist
","Dump all new particles, optional name substring.
"
"cl_precacheinfo
","Show precache info (client).
"
"cl_pred_track
","<entindex> <fieldname>:  Track changes to entity index entindex, for field fieldname.
"
"cl_predictioncopy_describe
","Describe datamap_t for entindex
"
"cl_quest_events_print
","cl_quest_events_print
"
"cl_quest_schedule_print
","cl_quest_schedule_print
"
"cl_reload_hud
","Reloads the hud scale and resets scale and borders
"
"cl_reloadpostprocessparams
","
"
"cl_remove_all_workshop_maps
","Removes all maps from the workshop directory.
"
"cl_removedecals
","Remove the decals from the entity under the crosshair.
"
"cl_report_soundpatch
","reports client-side sound patch count
"
"'-cl_show_team_equipment'
","
"
"'+cl_show_team_equipment'
","
"
"cl_showents
","Dump entity list to console.
"
"cl_sim_grenade_trajectory
","Draw trajectory of the deployed grenade if thrown from this position. Takes an optional parameter for how long the drawn trajec
"
"cl_sos_test_get_opvar
","
"
"cl_sos_test_set_opvar
","
"
"cl_soundemitter_flush
","Flushes the sounds.txt system (server only)
"
"cl_soundemitter_reload
","Flushes the sounds.txt system
"
"cl_soundscape_flush
","Flushes the client side soundscapes
"
"cl_soundscape_printdebuginfo
","print soundscapes
"
"cl_ss_origin
","print origin in script format
"
"cl_steamscreenshots
","Enable/disable saving screenshots to Steam
"
"cl_tree_sway_dir
","sets tree sway wind direction and strength
"
"cl_updatevisibility
","Updates visibility bits.
"
"cl_view
","Set the view entity index.
"
"clear
","Clear all console output.
"
"clear_anim_cache
","Clears the animation cache, freeing the memory (until the next time a streaming animblock is requested).
"
"clear_bombs
","
"
"clear_debug_overlays
","clears debug overlays
"
"clutch_mode_toggle
","Toggle clutch mode convar
"
"cmd
","Forward command to server.
"
"cmd1
","sets userinfo string for split screen player in slot 1
"
"cmd2
","sets userinfo string for split screen player in slot 2
"
"cmd3
","sets userinfo string for split screen player in slot 3
"
"cmd4
","sets userinfo string for split screen player in slot 4
"
"collision_test
","Tests collision system
"
"colorcorrectionui
","Show/hide the color correction tools UI.
"
"'+commandermousemove'
","
"
"'-commandermousemove'
","
"
"commentary_cvarsnotchanging
","
"
"commentary_finishnode
","
"
"commentary_showmodelviewer
","Display the commentary model viewer. Usage: commentary_showmodelviewer <model name> <optional attached model name>
"
"commentary_testfirstrun
","
"
"con_min_severity
","Minimum severity level for messages sent to any logging channel: LS_MESSAGE=0, LS_WARNING=1, LS_ASSERT=2, LS_ERROR=3.
"
"condump
","dump the text currently in the console to condumpXX.log
"
"connect
","Connect to specified server.
"
"crash
","Cause the engine to crash (Debug!!)
"
"create_flashlight
","
"
"CreatePredictionError
","Create a prediction error
"
"creditsdone
","
"
"cs_make_vip
","Marks a player as the VIP
"
"csgo_download_match
","Downloads a match via serial code and starts playback
"
"'+csm_rot_x_neg'
","
"
"'-csm_rot_x_neg'
","
"
"'+csm_rot_x_plus'
","
"
"'-csm_rot_x_plus'
","
"
"'+csm_rot_y_neg'
","
"
"'-csm_rot_y_neg'
","
"
"'+csm_rot_y_plus'
","
"
"'-csm_rot_y_plus'
","
"
"cvarlist
","Show the list of convars/concommands.
"
"dbghist_addline
","Add a line to the debug history. Format: <category id> <line>
"
"dbghist_dump
","Dump the debug history to the console. Format: <category id>
   Categories:
    0: Entity I/O
    1: AI Decisions
    2: Sc

"
"debug_drawbox
","Create debug box
"
"debug_drawdisp_boundbox
","Create debug boxes for invalid displacements
"
"debug_purchase_defidx
","Purchase an item by defindex
"
"demo_goto
","Skips to location in demo.
"
"demo_gototick
","Skips to a tick in demo.
"
"demo_info
","Print information about currently playing demo.
"
"demo_listhighlights
","List all highlights data for the demo.
"
"demo_listimportantticks
","List all important ticks in the demo.
"
"demo_pause
","Pauses demo playback.
"
"demo_resume
","Resumes demo playback.
"
"demo_timescale
","Sets demo replay speed.
"
"demo_togglepause
","Toggles demo playback.
"
"demolist
","Print demo sequence list.
"
"demos
","Demo demo file sequence.
"
"demoui
","Show/hide the demo player UI.
"
"devshots_nextmap
","Used by the devshots system to go to the next map in the devshots maplist.
"
"devshots_screenshot
","Used by the -makedevshots system to take a screenshot. For taking your own screenshots, use the 'screenshot' command instead.
"
"differences
","Show all convars which are not at their default values.
"
"disconnect
","Disconnect game from server.
"
"disp_list_all_collideable
","List all collideable displacements
"
"display_elapsedtime
","Displays how much time has elapsed since the game started
"
"dlight_debug
","Creates a dlight in front of the player
"
"dm_reset_spawns
","
"
"dm_togglerandomweapons
","Turns random weapons in deathmatch on/off
"
"drawcross
","Draws a cross at the given location
	Arguments: x y z

"
"drawline
","Draws line between two 3D Points.
	Green if no collision
	Red is collides with something
	Arguments: x1 y1 z1 x2 y2 z2

"
"drawoverviewmap
","Draws the overview map
"
"drawradar
","Draws HUD radar
"
"ds_get_newest_subscribed_files
","Re-reads web api auth key and subscribed file lists from disk and downloads the latest updates of those files from steam
"
"dsp_reload
","
"
"dti_flush
","Write out the datatable instrumentation files (you must run with -dti for this to work).
"
"'+duck'
","
"
"'-duck'
","
"
"dump_entity_sizes
","Print sizeof(entclass)
"
"dump_globals
","Dump all global entities/states
"
"dump_panorama_css_properties
","Prints out all valid panorama CSS properties and their documentation
"
"dump_panorama_css_properties_memstats
","Prints out mem stats of all valid panorama CSS properties
"
"dump_panorama_events
","print panorama event types and their documentation
"
"dump_panorama_js_scopes
","print panorama js scopes, such as classes, and their associated methods. (wiki table format)
"
"dump_panorama_render_command_stats
","
"
"dump_particlemanifest
","Dump the list of particles loaded.
"
"dumpentityfactories
","Lists all entity factory names.
"
"dumpeventqueue
","Dump the contents of the Entity I/O event queue to the console.
"
"dumpgamestringtable
","Dump the contents of the game string table to the console.
"
"dumpstringtables
","Print string tables to console.
"
"dz_clearteams
","Clear all DZ teams
"
"dz_jointeam
","name] - Join DZ team N (0 to leave your team).  Server admins can assign other players to teams.
"
"dz_shuffle_teams
","Shuffle all teams for Danger Zone
"
"dz_spawnselect_choose_hex
","
"
"echo
","Echo text to console.
"
"econ_build_pinboard_images_from_collection_name
","Renders and saves images for all models in a collection.
"
"econ_clear_inventory_images
","clear the local inventory images (they will regenerate)
"
"econ_show_items_with_tag
","Lists the item definitions that have a specified tag.
"
"editdemo
","Edit a recorded demo file (.dem ).
"
"editor_toggle
","Disables the simulation and returns focus to the editor
"
"endmatch_votenextmap
","Votes for the next map at the end of the match
"
"endmovie
","Stop recording movie frames.
"
"endround
","End the current round.
"
"ent_absbox
","Displays the total bounding box for the given entity(s) in green.  Some entites will also display entity specific overlays.
	Ar

"
"ent_attachments
","Displays the attachment points on an entity.
	Arguments:   	{entity_name} / {class_name} / no argument picks what player is loo

"
"ent_autoaim
","Displays the entity's autoaim radius.
	Arguments:   	{entity_name} / {class_name} / no argument picks what player is looking at

"
"ent_bbox
","Displays the movement bounding box for the given entity(ies) in orange.  Some entites will also display entity specific overlay
"
"ent_cancelpendingentfires
","Cancels all ent_fire created outputs that are currently waiting for their delay to expire.
"
"ent_create
","Creates an entity of the given type where the player is looking.
"
"ent_dump
","Usage:
  ent_dump <entity name>



"
"ent_fire
","Usage:
  ent_fire <target> [action] [value] [delay]



"
"ent_info
","Usage:
  ent_info <class name>



"
"ent_keyvalue
","Applies the comma delimited key=value pairs to the entity with the given Hammer ID.
	Format: ent_keyvalue <entity id> <key1>=<v

"
"ent_list_report
","Reports all list of all entities in a map, one by one
"
"ent_messages
","Toggles input/output message display for the selected entity(ies).  The name of the entity will be displayed as well as any mes
"
"ent_name
","
"
"ent_orient
","Orient the specified entity to match the player's angles. By default, only orients target entity's YAW. Use the 'allangles' opt
"
"ent_pause
","Toggles pausing of input/output message processing for entities.  When turned on processing of all message will stop.  Any mess
"
"ent_pivot
","Displays the pivot for the given entity(ies).
	(y=up=green, z=forward=blue, x=left=red). 
	Arguments:   	{entity_name} / {class

"
"ent_rbox
","Displays the total bounding box for the given entity(s) in green.  Some entites will also display entity specific overlays.
	Ar

"
"ent_remove
","Removes the given entity(s)
	Arguments:   	{entity_name} / {class_name} / no argument picks what player is looking at 

"
"ent_remove_all
","Removes all entities of the specified type
	Arguments:   	{entity_name} / {class_name} 

"
"ent_rotate
","Rotates an entity by a specified # of degrees
"
"ent_script_dump
","Dumps the names and values of this entity's script scope to the console
	Arguments:   	{entity_name} / {class_name} / no argume

"
"ent_setang
","Set entity angles
"
"ent_setname
","Sets the targetname of the given entity(s)
	Arguments:   	{new entity name} {entity_name} / {class_name} / no argument picks wh

"
"ent_setpos
","Move entity to position
"
"ent_show_response_criteria
","Print, to the console, an entity's current criteria set used to select responses.
	Arguments:   	{entity_name} / {class_name} /

"
"ent_step
","When 'ent_pause' is set this will step through one waiting input / output message at a time.
"
"ent_teleport
","Teleport the specified entity to where the player is looking.
	Format: ent_teleport <entity name>

"
"ent_text
","Displays text debugging information about the given entity(ies) on top of the entity (See Overlay Text)
	Arguments:   	{entity_

"
"ent_viewoffset
","Displays the eye position for the given entity(ies) in red.
	Arguments:   	{entity_name} / {class_name} / no argument picks wha

"
"envmap
","
"
"escape
","Escape key pressed.
"
"exec
","Execute script file.
"
"execifexists
","Execute script file if file exists.
"
"execwithwhitelist
","Execute script file, only execing convars on a whitelist.
"
"exit
","Exit the engine.
"
"exojump
","equips or removes exojump
"
"explode
","Kills the player with explosive damage
"
"explodevector
","Kills a player applying an explosive force. Usage: explodevector <player> <x value> <y value> <z value>
"
"fadein
","fadein {time r g b}: Fades the screen in from black or from the specified color over the given number of seconds.
"
"fadeout
","fadeout {time r g b}: Fades the screen to black or to the specified color over the given number of seconds.
"
"find
","Find concommands with the specified string in their name/help text.
"
"find_ent
","Find and list all entities with classnames or targetnames that contain the specified substring.
Format: find_ent <substring>


"
"find_ent_index
","Display data for entity matching specified index.
Format: find_ent_index <index>


"
"findflags
","Find concommands by flags.
"
"firetarget
","
"
"firstperson
","Switch to firstperson camera.
"
"flush
","Flush unlocked cache memory.
"
"flush_locked
","Flush unlocked and locked cache memory.
"
"fogui
","Show/hide fog control UI.
"
"force_centerview
","
"
"forcebind
","Bind a command to an available key. (forcebind command opt:suggestedKey)
"
"'-forward'
","
"
"'+forward'
","
"
"foundry_engine_get_mouse_control
","Give the engine control of the mouse.
"
"foundry_engine_release_mouse_control
","Give the control of the mouse back to Hammer.
"
"foundry_select_entity
","Select the entity under the crosshair or select entities with the specified name.
"
"foundry_sync_hammer_view
","Move Hammer's 3D view to the same position as the engine's 3D view.
"
"foundry_update_entity
","Updates the entity's position/angles when in edit mode
"
"fs_clear_open_duplicate_times
","Clear the list of files that have been opened.
"
"fs_dump_open_duplicate_times
","Set fs_report_long_reads 1 before loading to use this. Prints a list of files that were opened more than once and ~how long was
"
"fs_fios_cancel_prefetches
","Cancels all the prefetches in progress.
"
"fs_fios_flush_cache
","Flushes the FIOS HDD cache.
"
"fs_fios_prefetch_file
","Prefetches a file: </PS3_GAME/USRDIR/filename.bin>.
The preftech is medium priority and persistent.

"
"fs_fios_prefetch_file_in_pack
","Prefetches a file in a pack: <portal2/models/container_ride/fineDebris_part5.ani>.
The preftech is medium priority and non-pers

"
"fs_fios_print_prefetches
","Displays all the prefetches currently in progress.
"
"fs_printopenfiles
","Show all files currently opened by the engine.
"
"fs_syncdvddevcache
","Force the 360 to get updated files that are in your p4 changelist(s) from the host PC when running with -dvddev.
"
"fs_warning_level
","Set the filesystem warning level.
"
"g15_dumpplayer
","Spew player data.
"
"g15_reload
","Reloads the Logitech G-15 Keyboard configs.
"
"gameinstructor_dump_open_lessons
","Gives a list of all currently open lessons.
"
"gameinstructor_reload_lessons
","Shuts down all open lessons and reloads them from the script file.
"
"gameinstructor_reset_counts
","Resets all display and success counts to zero.
"
"gamemenucommand
","Issue game menu command.
"
"gamepadslot1
","
"
"gamepadslot2
","
"
"gamepadslot3
","
"
"gamepadslot4
","
"
"gamepadslot5
","
"
"gamepadslot6
","
"
"gameui_activate
","Shows the game UI
"
"gameui_allowescape
","Escape key allowed to hide game UI
"
"gameui_allowescapetoshow
","Escape key allowed to show game UI
"
"gameui_hide
","Hides the game UI
"
"gameui_preventescape
","Escape key doesn't hide game UI
"
"gameui_preventescapetoshow
","Escape key doesn't show game UI
"
"getpos
","dump position and angles to the console
"
"getpos_exact
","dump origin and angles to the console
"
"give
","Give item to player.
	Arguments: <item_name>

"
"givecurrentammo
","Give a supply of ammo for current weapon..


"
"global_set
","global_set <globalname> <state>: Sets the state of the given env_global (0 = OFF, 1 = ON, 2 = DEAD).
"
"god
","Toggle. Player becomes invulnerable.
"
"gods
","Toggle. All players become invulnerable.
"
"'-graph'
","
"
"'+graph'
","
"
"'-grenade1'
","
"
"'+grenade1'
","
"
"'-grenade2'
","
"
"'+grenade2'
","
"
"groundlist
","Display ground entity list <index>
"
"hammer_update_entity
","Updates the entity's position/angles when in edit mode
"
"hammer_update_safe_entities
","Updates entities in the map that can safely be updated (don't have parents or are affected by constraints). Also excludes entit
"
"heartbeat
","Force heartbeat of master servers
"
"help
","Find help about a convar/concommand.
"
"hideconsole
","Hide the console.
"
"hideoverviewmap
","Hides the overview map
"
"hidepanel
","Hides a viewport panel <name>
"
"hideradar
","Hides HUD radar
"
"hidescores
","Forcibly hide score panel
"
"hltv_replay_status
","Show Killer Replay status and some statistics, works on listen or dedicated server.
"
"host_filtered_time_report
","Dumps time spent idle in previous frames in ms(dedicated only).
"
"host_reset_config
","reset config (for testing) with param as splitscreen index.
"
"host_runofftime
","Run off some time without rendering/updating sounds


"
"host_timer_report
","Spew CPU timer jitter for the last 128 frames in microseconds (dedicated only)
"
"host_workshop_collection
","Get the latest version of maps in a workshop collection and host them as a maplist.
"
"host_workshop_map
","Get the latest version of the map and host it on this server.
"
"host_writeconfig
","Store current settings to config.cfg (or specified .cfg file).
"
"host_writeconfig_ss
","Store current settings to config.cfg (or specified .cfg file) with first param as splitscreen index.
"
"hud_reloadscheme
","Reloads hud layout and animation scripts.
"
"hud_subtitles
","Plays the Subtitles: <filename>
"
"hurtme
","Hurts the player.
	Arguments: <health to lose>

"
"ime_hkl_info
","Spew IME HKL info.
"
"ime_info
","Spew IME info.
"
"ime_supported_info
","Spew IME Supported info.
"
"impulse
","
"
"incrementvar
","Increment specified convar value.
"
"invnext
","
"
"invnextgrenade
","
"
"invnextitem
","
"
"invnextnongrenade
","
"
"invprev
","
"
"ipc_console_disable
","Disable IPC console(s)
"
"ipc_console_disable_all
","Disable all IPC consoles
"
"ipc_console_enable
","Enable IPC console
"
"ipc_console_show
","Show status of IPC consoles
"
"itemtimedata_dump_active
","
"
"itemtimedata_dump_total
","
"
"itemtimedata_print_and_reset
","Outputs item time data to server log and clears data.
"
"'+jlook'
","
"
"'-jlook'
","
"
"joyadvancedupdate
","
"
"jpeg
","Take a jpeg screenshot:  jpeg <filename> <quality 1-100>.
"
"'-jump'
","
"
"'+jump'
","
"
"kdtree_test
","Tests spatial partition for entities queries.
"
"key_findbinding
","Find key bound to specified command string.
"
"key_listboundkeys
","List bound keys with bindings.
"
"key_updatelayout
","Updates game keyboard layout to current windows keyboard setting.
"
"kick
","Kick a player by name.
"
"kickid
","Kick a player by userid or uniqueid, with a message.
"
"kickid_ex
","Kick a player by userid or uniqueid, provide a force-the-kick flag and also assign a message.
"
"kill
","Kills the player with generic damage
"
"killserver
","Shutdown the server.
"
"killvector
","Kills a player applying force. Usage: killvector <player> <x value> <y value> <z value>
"
"'-klook'
","
"
"'+klook'
","
"
"lastinv
","
"
"launch_warmup_map
","Launches warmup map
"
"'-left'
","
"
"'+left'
","
"
"light_crosshair
","Show texture color at crosshair
"
"lightprobe
","Samples the lighting environment.
Creates a cubemap and a file indicating the local lighting in a subdirectory called 'material

"
"linefile
","Parses map leak data from .lin file
"
"listdemo
","List demo file contents.
"
"listid
","Lists banned users.
"
"listip
","List IP addresses on the ban list.
"
"listissues
","List all the issues that can be voted on.
"
"listmodels
","List loaded models.
"
"listRecentNPCSpeech
","Displays a list of the last 5 lines of speech from NPCs.
"
"load
","Load a saved game.
"
"loadcommentary
","
"
"loader_dump_table
","
"
"localization_quest_item_string_printout
","localization_quest_item_string_printout
"
"log
","off >.
"
"log_color
","Set the color of a logging channel.
"
"log_dumpchannels
","Dumps information about all logging channels.
"
"log_flags
","Set the flags on a logging channel.
"
"log_level
","Set the spew level of a logging channel.
"
"logaddress_add
","Set address and port for remote host <ip:port>.
"
"logaddress_add_ex
","Set address and port for remote host <ip:port> and supplies a unique token in the UDP packets.
"
"logaddress_add_http
","Set URI of a listener to receive logs via http post. Wrap URI in double quotes.
"
"logaddress_add_http_delayed
","Set a delay and URI of a listener to receive logs via http post. Wrap URI in double quotes.
"
"logaddress_add_ts
","Set address and port for remote host <ip:port> and uses a unique checksum from logaddress_token_secret in the UDP packets.
"
"logaddress_del
","Remove address and port for remote host <ip:port>.
"
"logaddress_delall
","Remove all udp addresses being logged to
"
"logaddress_delall_http
","Remove all http listeners from the dispatch list.
"
"logaddress_list
","List all addresses currently being used by logaddress.
"
"logaddress_list_http
","List all URIs currently receiving server logs
"
"'-lookdown'
","
"
"'+lookdown'
","
"
"'-lookspin'
","
"
"'+lookspin'
","
"
"'+lookup'
","
"
"'-lookup'
","
"
"map
","Start playing on specified map.
"
"map_background
","Runs a map as the background to the main menu.
"
"map_commentary
","Start playing, with commentary, on a specified map.
"
"map_edit
","
"
"map_setbombradius
","Sets the bomb radius for the map.
"
"map_showbombradius
","Shows bomb radius from the center of each bomb site and planted bomb.
"
"map_showspawnpoints
","Shows player spawn points (red=invalid). Optionally pass in the duration.
"
"mapgroup
","Specify a map group
"
"maps
","Displays list of maps.
"
"mat_configcurrent
","show the current video control panel config for the material system
"
"mat_crosshair
","Display the name of the material under the crosshair
"
"mat_crosshair_edit
","open the material under the crosshair in the editor defined by mat_crosshair_edit_editor
"
"mat_crosshair_explorer
","open the material under the crosshair in explorer and highlight the vmt file
"
"mat_crosshair_printmaterial
","print the material under the crosshair
"
"mat_crosshair_reloadmaterial
","reload the material under the crosshair
"
"mat_custommaterialusage
","Show memory usage for custom weapon materials.
"
"mat_edit
","Bring up the material under the crosshair in the editor
"
"mat_hdr_enabled
","Report if HDR is enabled for debugging
"
"mat_info
","Shows material system info
"
"mat_reloadallcustommaterials
","Reloads all custom materials
"
"mat_reloadallmaterials
","Reloads all materials
"
"mat_reloadmaterial
","Reloads a single material
"
"mat_reloadtextures
","Reloads all textures
"
"mat_rendered_faces_spew
","'mat_rendered_faces_spew <n>' Spew the number of faces rendered for the top N models used this frame (mat_rendered_faces_count
"
"mat_reporthwmorphmemory
","Reports the amount of size in bytes taken up by hardware morph textures.
"
"mat_savechanges
","saves current video configuration to the registry
"
"mat_setvideomode
","sets the width, height, windowed state of the material system
"
"mat_shadercount
","display count of all shaders and reset that count
"
"mat_showmaterials
","Show materials.
"
"mat_showmaterialsverbose
","Show materials (verbose version).
"
"mat_showtextures
","Show used textures.
"
"mat_spewvertexandpixelshaders
","Print all vertex and pixel shaders currently loaded to the console
"
